epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.4628,1.00746,2.81031,1.28544,0.66594,0.6252,0.64527,0.45053,0.98605,1.67923,1.30749,0.0702013,0.00331096,0.00331096
2,163.157,0.95603,1.27387,1.19979,0.79336,0.78125,0.82713,0.5613,1.10064,1.09066,1.42637,0.0401356,0.00657852,0.00657852
3,237.174,1.02658,1.18641,1.22389,0.41858,0.43414,0.41316,0.27336,1.11905,3.19206,1.42992,0.0100038,0.00978007,0.00978007
4,311.989,1.07799,1.1726,1.24645,0.66062,0.65085,0.66919,0.48025,1.01343,1.69047,1.34885,0.009703,0.009703,0.009703
5,388.423,1.05844,1.06773,1.23376,0.77984,0.76247,0.83028,0.57179,1.08737,1.10933,1.37819,0.009604,0.009604,0.009604
6,462.063,1.0096,0.97241,1.20193,0.71708,0.68824,0.74996,0.53384,1.07481,1.22974,1.37199,0.009505,0.009505,0.009505
7,536.114,1.00424,0.92635,1.20036,0.77617,0.63618,0.71699,0.50041,1.17329,1.58541,1.51199,0.009406,0.009406,0.009406
8,611.208,0.99799,0.87784,1.19519,0.8276,0.77634,0.86142,0.59641,1.0836,0.9889,1.34052,0.009307,0.009307,0.009307
9,689.015,0.98036,0.8479,1.18627,0.82099,0.78492,0.86652,0.63326,0.94625,0.88368,1.2733,0.009208,0.009208,0.009208
10,764.05,0.96204,0.8074,1.17407,0.86233,0.83638,0.89172,0.65702,0.92307,0.8085,1.26934,0.009109,0.009109,0.009109
11,838.197,0.96014,0.79343,1.17089,0.87524,0.82699,0.89808,0.65643,0.94414,0.78326,1.26655,0.00901,0.00901,0.00901
12,914.72,0.93754,0.7679,1.15259,0.85847,0.8521,0.91439,0.67443,0.92076,0.73608,1.25731,0.008911,0.008911,0.008911
13,989.971,0.94747,0.74834,1.15986,0.85929,0.83358,0.8831,0.64831,0.96304,0.76808,1.27923,0.008812,0.008812,0.008812
14,1065.05,0.93157,0.72816,1.15089,0.8365,0.83506,0.8779,0.66202,0.93183,0.79547,1.25132,0.008713,0.008713,0.008713
15,1141.01,0.92399,0.73479,1.14314,0.64252,0.75566,0.74734,0.54411,1.00564,1.24897,1.31377,0.008614,0.008614,0.008614
16,1215.25,0.91538,0.7021,1.13759,0.72013,0.77227,0.81098,0.61562,0.88917,1.09765,1.2267,0.008515,0.008515,0.008515
17,1291.69,0.91344,0.67573,1.13731,0.70224,0.77606,0.84743,0.64355,0.89093,1.23604,1.22215,0.008416,0.008416,0.008416
18,1367.2,0.91609,0.70472,1.13738,0.81667,0.80687,0.86333,0.6406,0.95822,0.89132,1.27517,0.008317,0.008317,0.008317
19,1443.28,0.89058,0.66879,1.12305,0.899,0.86848,0.92604,0.70908,0.89136,0.60908,1.21703,0.008218,0.008218,0.008218
20,1518.74,0.89794,0.65294,1.12659,0.86838,0.8584,0.94579,0.73407,0.84076,0.64248,1.16691,0.008119,0.008119,0.008119
21,1593.32,0.88843,0.64459,1.12464,0.90468,0.89943,0.94603,0.72436,0.8558,0.56522,1.18535,0.00802,0.00802,0.00802
22,1667.5,0.90801,0.67329,1.13809,0.91634,0.87602,0.93627,0.72553,0.83211,0.58558,1.16933,0.007921,0.007921,0.007921
23,1740.18,0.87052,0.63719,1.11296,0.81092,0.80201,0.85543,0.63542,0.96612,0.82164,1.27187,0.007822,0.007822,0.007822
24,1815.54,0.87868,0.62067,1.10934,0.84111,0.82561,0.90372,0.68988,0.86731,0.72681,1.19511,0.007723,0.007723,0.007723
25,1889.46,0.87593,0.62181,1.10964,0.91327,0.82709,0.92947,0.71839,0.86846,0.64979,1.19737,0.007624,0.007624,0.007624
26,1963.77,0.87896,0.60944,1.11292,0.92924,0.9128,0.94966,0.73117,0.84708,0.53138,1.16469,0.007525,0.007525,0.007525
27,2038.37,0.86174,0.59568,1.1024,0.92939,0.88945,0.94084,0.7265,0.83273,0.52865,1.19682,0.007426,0.007426,0.007426
28,2112.44,0.85,0.59027,1.10075,0.9091,0.89116,0.94114,0.73029,0.86648,0.56212,1.18927,0.007327,0.007327,0.007327
29,2189.22,0.85544,0.59334,1.09983,0.9391,0.88046,0.94579,0.74113,0.83727,0.53279,1.16209,0.007228,0.007228,0.007228
